Symbol,"UNDERLYING ASSET 
"
NIFTY1,Nifty 50
SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF)
SILVRETF,Mirae Asset Silver ETF
IVZINNIFTY,Nifty 50
MOMENTUM50,Nifty 500 Momentum 50 Total Return Index
NIF10GETF,UTI Nifty 10 yr Benchmark G-Sec ETF
GSEC10YEAR,Mirae Asset Nifty 8-13 yr G-Sec ETF
GSEC5IETF,Nifty 5 yr Benchmark G-Sec Index
MIDCAP,Nifty Midcap 50 Index
NIF5GETF,UTI Nifty 5 yr Benchmark G-Sec ETF
SENSEXIETF,SENSEX
EQUAL50ADD,NIFTY 50 Equal Weight Index
BFSI,Nifty Financial Services Index
BANKBETF,Bajaj Finserv Nifty Bank ETF
ICICIB22,S&P BSE BHARAT 22 index
UTINIFTETF,Nifty 50
EMULTIMQ,Nifty500 Multicap Momentum Quality 50 Total Return Index
IT,NIFTY IT Index
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price
UTIBANKETF,Nifty Bank
TATSILV,Tata Silver Exchange Traded Fund
GOLDETF,Mirae Asset Gold ETF
MOGSEC,Nifty 5 yr Benchmark G-Sec Index
BANKIETF,Nifty Bank
EGOLD,Edelweiss Gold ETF
HDFCSILVER,HDFC Silver ETF
SETFNIFBK,Nifty Bank
AXISBNKETF,Nifty Bank
VAL30IETF,Nifty200 Value 30 Index
UTISXN50,BSE Sensex Next 50
BANKBEES,Nifty Bank
BANKNIFTY1,Nifty Bank
AXISGOLD,Gold
BANKETFADD,DSP Nifty Bank ETF
BANKETF,Mirae Asset Nifty Bank ETF
MIDQ50ADD,Nifty Midcap 150 Quality 50 Index
GOLDCASE,Zerodha Gold ETF
GOLDETFADD,DSP Gold ETF
COMMOIETF,ICICI Prudential Nifty Commodities ETF
GOLD1,Gold
NIFMID150,UTI Nifty Midcap 150 Exchange Traded Fund (ETF)
HDFCGOLD,Gold
GOLDIETF,Gold
QGOLDHALF,Gold
GOLDBEES,Gold
BSLGOLDETF,Gold
GROWWGOLD,Commodity
SETFGOLD,Gold
GOLDSHARE,Gold
IVZINGOLD,Gold
METALIETF,Nifty Metal Index
HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF
BBNPPGOLD,Baroda BNP Paribas Gold ETF
FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF
PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF
HEALTHADD,DSP Nifty Healthcare ETF
HDFCPSUBK,HDFC NIFTY PSU BANK ETF
PSUBNKBEES,Nifty PSU Bank
MOMENTUM,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF
BANKPSU,Nifty PSU Bank Total Return Index
PSUBANK,Nifty PSU Bank
METAL,Nifty Metal Total Return Index
PSUBANKADD,DSP Nifty PSU Bank ETF
